option,rooms,area,floor,total_floors,house_type,condition,price
For sale,1,21,2,5,Masonry,All amenities,"€ 37,500"
For sale,1,46,2,9,Panel,All amenities,"€ 45,000"
For rent,1,27,1,1,Wood,All amenities,€ 25
For sale,4,74,1,6,Masonry,All amenities,"€ 87,961"
For rent,2,45,6,6,Masonry,All amenities,€ 470
For sale,2,44,4,5,Panel-Brick,All amenities,"€ 53,000"
For rent,1,32,5,5,Brick,All amenities,€ 190
For rent,1,38,4,5,Brick-Panel,Partial amenities,€ 140
For rent,1,32,1,2,Masonry,All amenities,€ 250
For rent,1,49,2,16,Panel,All amenities,€ 280
For rent,1,45,4,6,Brick-Panel,All amenities,€ 400
For sale,1,20,2,3,Wood,All amenities,"€ 14,500"
For sale,2,41,3,5,Masonry,All amenities,"€ 41,900"
For rent,1,45,2,3,Brick,All amenities,€ 380
For rent,3,90,15,30,Masonry,All amenities,€ 650
For sale,2,61,3,5,Masonry,All amenities,"€ 80,000"
For sale,1,43,3,5,Panel,All amenities,"€ 46,200"
Buying,1,42,2,5,Panel,All amenities,
For sale,1,45,3,9,Panel,All amenities,"€ 40,700"
For sale,3,74,3,6,Masonry,All amenities,"€ 135,000"
For sale,2,46,3,5,Masonry,All amenities,"€ 49,000"
For rent,2,64,5,6,Masonry,All amenities,€ 450
For rent,2,40,1,2,Masonry,Partial amenities,€ 220
For rent,3,89,6,6,Panel,All amenities,€ 750
For sale,1,27,5,5,Masonry,All amenities,"€ 59,990"
For sale,2,46,5,5,Brick-Panel,All amenities,"€ 56,800"
For rent,1,30,2,12,Brick,All amenities,€ 300
For rent,1,30,2,12,Brick,All amenities,€ 300
For rent,3,85,5,5,Brick,All amenities,€ 500
For sale,2,42,2,2,Wood,All amenities,"€ 37,500"
For sale,4,117,5,5,Brick,All amenities,"€ 82,000"
For rent,2,57,3,4,Panel,All amenities,€ 550
For sale,3,60,3,5,Brick-Panel,All amenities,"€ 120,000"
For rent,2,58,4,5,Brick-Panel,All amenities,€ 425
For sale,1,20,1,2,Masonry,Partial amenities,"€ 8,100"
For sale,3,107,5,5,Brick,All amenities,"€ 265,000"
For sale,2,45,1,3,Brick,All amenities,"€ 36,000"
For rent,1,25,3,3,Masonry,All amenities,€ 290
For rent,1,45,12,16,Panel,All amenities,€ 270
For rent,3,77,2,9,Panel,All amenities,€ 420
For sale,2,41,3,3,Masonry,All amenities,"€ 38,000"
For sale,4,140,4,4,Panel,All amenities,"€ 228,000"
For sale,4,137,3,5,Masonry,All amenities,"€ 149,000"
For sale,4,118,1,3,Brick-Panel,All amenities,"€ 199,000"
For rent,3,63,3,5,Masonry,All amenities,€ 630
For sale,3,75,6,12,Brick,All amenities,"€ 67,000"
For sale,3,101,3,6,Masonry,All amenities,"€ 220,000"
For sale,1,43,3,3,Wood,All amenities,"€ 45,000"
For rent,1,35,6,12,Brick,All amenities,€ 190
For rent,3,55,1,1,Masonry,All amenities,€ 500
For rent,1,32,4,12,Brick,All amenities,€ 250
For sale,4,95,1,2,Wood,All amenities,"€ 29,790"
For sale,3,64,2,4,Wood,All amenities,"€ 102,000"
For sale,1,37,1,9,Panel,All amenities,"€ 32,000"
For rent,1,25,5,5,Masonry,All amenities,€ 600
For sale,3,63,2,9,Panel,All amenities,"€ 67,500"
For sale,2,49,2,9,Panel,All amenities,"€ 50,000"
For sale,3,48,1,2,Wood,Partial amenities,"€ 32,000"
For rent,2,49,5,5,Brick-Panel,All amenities,€ 250
For sale,2,37,1,2,Wood,Partial amenities,"€ 12,980"
For sale,1,24,1,2,Wood,Partial amenities,"€ 7,380"
For rent,2,58,2,9,Panel,All amenities,€ 280
For sale,1,18,2,2,Wood,Partial amenities,"€ 11,590"
For sale,1,52,2,2,Wood,Partial amenities,"€ 14,690"
For sale,1,15,2,3,Masonry,Partial amenities,"€ 5,360"
For sale,2,43,2,5,Brick,All amenities,"€ 26,500"
For sale,3,41,2,2,Wood,Partial amenities,"€ 24,890"
For sale,1,18,3,4,Brick,All amenities,"€ 6,490"
For sale,2,46,1,2,Masonry,All amenities,"€ 18,900"
For rent,2,50,4,4,Brick,All amenities,€ 430
For rent,1,43,6,9,Panel,All amenities,€ 270
For sale,3,75,9,10,Panel,Without amenities,"€ 70,000"
For sale,2,36,3,4,Brick-Panel,All amenities,"€ 43,500"
For sale,1,39,2,4,Masonry,All amenities,"€ 41,000"
For rent,1,25,4,6,Masonry,Partial amenities,€ 125
For sale,4,139,6,6,Masonry,All amenities,"€ 259,000"
For sale,2,43,1,6,Masonry,All amenities,"€ 104,370"
For sale,2,50,1,9,Panel,All amenities,"€ 45,000"
For sale,3,60,5,5,Panel,All amenities,"€ 54,500"
For sale,2,34,3,4,Masonry,All amenities,"€ 59,900"
For sale,5,217,9,10,Panel-Brick,All amenities,"€ 175,000"
For rent,1,30,1,5,Brick,All amenities,€ 300
For rent,2,64,2,5,Brick-Panel,All amenities,€ 450
For sale,3,52,1,2,Wood,Partial amenities,"€ 14,980"
For sale,1,20,2,2,Wood,Partial amenities,"€ 7,380"
For sale,2,100,1,2,Brick,Partial amenities,"€ 15,890"
For sale,2,37,4,4,Brick,All amenities,"€ 12,890"
For sale,1,24,2,2,Brick,All amenities,"€ 9,870"
For sale,1,24,1,3,Wood,All amenities,"€ 10,890"
For sale,1,18,1,2,Wood,Partial amenities,"€ 14,500"
For sale,2,50,3,9,Panel,All amenities,"€ 53,500"
Change,3,74,5,5,Panel,All amenities,
For rent,1,30,1,5,Brick,All amenities,€ 260
For sale,1,17,1,2,Panel,All amenities,"€ 13,500"
For rent,1,35,2,9,Brick,All amenities,€ 280
